4613 2
235 -0.24390055 0.19657436
414 -0.15246749 -0.1571127
488 -0.092751354 -0.29321238
197 0.006917013 -0.16186626
456 0.25635448 -0.1217225
590 -0.116483994 -0.15494612
810 0.08051361 0.17465322
86 0.16348808 0.15020293
381 -0.104611516 -0.2654863
305 -0.13976032 -0.17862462
1281 -0.12594771 -0.19711487
802 0.20662795 -0.13369985
1313 -0.21450639 0.07882529
476 0.28996938 -0.12581259
513 0.21172404 -0.27143168
2742 0.21230996 -0.09359245
95 0.2705928 -0.30107006
153 0.17948018 -0.27430016
615 -0.16443008 0.014348144
238 0.2336273 -0.02378991
387 0.2827342 -0.07382835
1265 0.2113272 0.18553606
179 -0.06485243 -0.19496247
1097 -0.13886999 -0.18513142
5718 0.15283127 -0.31774715
225 0.27519253 -0.014100793
683 -0.038173053 0.040695116
7 -0.10291717 -0.09402523
461 -0.26162663 -0.26730424
742 0.0730349 -0.063586384
188 -0.12396788 -0.09113816
629 -0.13512477 0.11673446
541 0.012260476 0.012019352
39 -0.18201476 -0.07129539
129 0.011872063 -0.16356651
6890 0.15850268 0.124436624
5459 0.19650686 -0.21710593
72 -0.046116263 -0.014452898
928 -0.10708484 -0.026539693
1729 -0.051590152 0.1769078
1720 0.05912529 -0.20188272
1273 0.063220106 -0.10865893
713 -0.08031921 0.105827
563 -0.12408372 -0.22546259
323 0.012627324 -0.18179701
105 0.125596 0.043100256
359 0.26907617 -0.08397515
30 0.0116323335 0.07547197
363 0.21203677 -0.18674047
1120 -0.23670055 0.021671798
440 -0.047501687 -0.30015174
283 -0.22664753 0.12957415
934 0.17480457 0.16845237
1384 -0.0005193363 0.037298292
480 0.11048805 0.07398504
2509 0.06376612 -0.28098783
149 0.1296832 -0.19979623
192 0.29911783 -0.07473067
66 -0.13357994 -0.049893335
965 -0.15831281 0.077865995
28 -0.056656267 0.22203463
396 0.16665372 -0.16846944
954 0.16880018 -0.26685497
145 0.19963282 -0.10641267
618 -0.15044057 0.037821632
1201 0.2993397 -0.24188073
273 0.02441108 -0.08250471
393 0.21480349 -0.2104472
354 -0.09131262 0.037859615
769 0.14559482 -0.095512606
580 0.19252513 0.19059448
51 -0.04357804 0.061596982
25 0.25222185 0.04468644
286 0.07100382 -0.28700292
61 -0.028007824 -0.11082714
176 0.03903551 -0.07238085
142 -0.058545318 -0.18591711
3 -0.2086746 0.1477784
900 0.16085878 0.24528106
402 -0.19234785 -0.2438934
428 0.2525713 -0.00765827
138 -0.040787354 -0.10846198
12 -0.13843535 -0.027578354
1065 0.16802505 -0.11545323
1156 -0.029502995 -0.16135435
438 0.28361857 0.03706566
824 0.007423294 0.14569038
904 -0.09199768 -0.13606916
1290 0.04594343 -0.1493719
847 -0.09034224 0.23565741
681 0.0058168313 -0.08792779
280 -0.106262505 0.100646555
133 -0.1515134 0.14349528
367 -0.15806252 -0.12055841
341 0.16943136 -0.1497732
474 -0.24040477 -0.20649306
633 0.04031899 -0.05171475
136 -0.032312255 -0.0992834
241 0.007480328 -0.02139333
906 0.16611482 0.10105021
202 -0.08255225 -0.25229996
646 0.31289777 0.1140713
365 -0.037857044 0.15226148
815 0.2251584 0.17534243
132 -0.16420767 0.1280721
320 0.22381575 0.17722157
207 0.060803555 0.06526676
90 0.22307438 0.017200014
127 0.14561155 -0.28680065
344 0.11279839 0.19831805
585 0.24586847 -0.091797024
771 0.02754528 -0.011237974
170 0.21345328 0.08478298
1882 0.2924218 -0.082832135
3799 0.24394393 -0.09531936
174 -0.07509275 0.1470706
1461 -0.23185015 0.21073091
924 0.026564023 -0.09133031
757 -0.19316852 -0.12860018
338 0.28754574 -0.21711235
1441 0.082249604 -0.11834376
3951 -0.087748185 -0.015330861
114 -0.16208908 -0.2407864
1583 0.20534237 -0.14982337
124 -0.09009492 -0.2842955
3216 0.110808305 0.13310689
